,submission_date,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,new_death,pnew_death,created_at,consent_cases,consent_deaths,conf_death,prob_death
937,2020-05-17T00:00:00.000,CT,37419,35474.0,1945,716.0,-80,3408,69.0,6,2020-05-18T16:01:54.000,Agree,Agree,2636.0,772
938,2021-06-26T00:00:00.000,NE,224459,,,27.0,0,2259,0.0,0,2021-06-28T00:00:00.000,Not agree,Not agree,,
939,2021-07-26T00:00:00.000,CT,352626,322141.0,30485,197.0,50,8288,2.0,1,2021-07-27T14:48:23.791,Agree,Agree,6818.0,1470
940,2021-07-26T00:00:00.000,WI,683041,617372.0,65669,324.0,33,8253,5.0,1,2021-07-27T14:48:23.791,Agree,Agree,7408.0,845
941,2020-04-15T00:00:00.000,ID,1587,1507.0,80,101.0,80,41,2.0,0,2020-04-15T16:22:39.452,Agree,Agree,41.0,0
942,2021-03-19T00:00:00.000,MS,303579,187020.0,116559,355.0,239,7143,5.0,1,2021-03-21T00:00:00.000,Agree,Agree,4942.0,2201
943,2021-07-21T00:00:00.000,WA,463537,,,960.0,179,6063,7.0,0,2021-07-22T15:06:50.836,N/A,N/A,,
944,2021-01-19T00:00:00.000,MT,89864,89864.0,0,288.0,0,1093,0.0,0,2021-01-20T14:44:03.544,Agree,Agree,1093.0,0
945,2021-07-24T00:00:00.000,CA,3983356,3821698.0,161658,8637.0,406,63916,28.0,0,2021-07-24T00:00:00.000,Agree,Agree,63916.0,0
946,2020-03-30T00:00:00.000,ID,415,,,105.0,,7,1.0,,2020-03-29T16:22:39.452,Agree,Agree,,
947,2021-08-15T00:00:00.000,VT,24523,,,81.0,0,256,0.0,0,2021-08-16T15:23:49.353,Not agree,Not agree,,
948,2020-05-05T00:00:00.000,CT,30621,28881.0,1740,648.0,65,2633,77.0,26,2020-05-06T16:23:08.000,Agree,Agree,1958.0,675
949,2020-11-30T00:00:00.000,CA,1333606,1309197.0,24409,18970.0,864,20744,161.0,0,2020-11-30T00:00:00.000,Agree,Agree,20744.0,0
950,2021-04-08T00:00:00.000,AL,530616,409958.0,120658,418.0,125,10992,3.0,0,2021-04-10T00:00:00.000,Agree,Agree,8765.0,2227
